# music_dance timeline v1
# fps=100.227273
# n=14916
# duration_sec=148.822
# wav=V_ZionT_MR.wav
led,motor
0.121329,0.022148
0.149159,0.125819
0.200999,0.237155
0.432303,0.431420
0.558568,0.582799
0.607915,0.700759
0.624482,0.792680
0.629278,0.864308
0.631039,0.920123
0.636306,0.963617
0.644743,0.997509
0.653817,1.000000
0.659242,1.000000
0.653548,1.000000
0.638705,1.000000
0.619729,0.996385
0.604188,0.977163
0.583376,0.955165
0.548901,0.927184
0.519623,0.904375
0.497045,0.887428
0.480469,0.874785
0.574885,0.910999
0.678434,0.956507
0.686281,0.973444
0.676468,0.967471
0.655929,0.955043
0.624700,0.934088
0.580533,0.902478
0.526293,0.862629
0.468458,0.816914
0.407875,0.763617
0.348823,0.704796
0.292244,0.640079
0.244444,0.575373
0.214166,0.528393
0.206030,0.517048
0.201842,0.511981
0.199241,0.506820
0.201025,0.505525
0.316733,0.570487
0.563370,0.691165
0.690325,0.785204
0.749051,0.858482
0.778451,0.915584
0.793925,0.960080
0.807655,0.994753
0.815972,1.000000
0.818876,1.000000
0.825194,1.000000
0.825036,1.000000
0.815662,1.000000
0.789089,0.987118
0.735707,0.949471
0.683573,0.910326
0.632704,0.871204
0.576854,0.826671
0.531977,0.786868
0.492631,0.750340
0.469962,0.727742
0.459989,0.715004
0.450176,0.702066
0.428046,0.678531
0.396370,0.645462
0.365796,0.610178
0.333774,0.570746
0.301445,0.529149
0.271376,0.486808
0.246249,0.446384
0.224329,0.407921
0.204785,0.369854
0.190270,0.337379
0.178252,0.307322
0.169498,0.283010
0.163491,0.264294
0.162372,0.258510
0.208933,0.288793
0.279187,0.343715
0.425081,0.439063
0.563352,0.537081
0.591632,0.602427
0.588891,0.613716
0.583544,0.613424
0.579815,0.619799
0.574428,0.626760
0.562132,0.624579
0.538123,0.613959
0.507048,0.597096
0.456689,0.561785
0.403773,0.519549
0.345250,0.464860
0.293978,0.409531
0.259059,0.367604
0.238866,0.342547
0.229972,0.333569
0.228362,0.342648
0.315620,0.403646
0.586490,0.540951
0.793094,0.668150
0.854903,0.760714
0.847350,0.805361
0.826049,0.804792
0.786551,0.793426
0.733348,0.771849
0.672249,0.743406
0.605444,0.707778
0.540172,0.669093
0.476786,0.627098
0.417270,0.582630
0.361618,0.535113
0.312077,0.486843
0.269244,0.438604
0.237073,0.397566
0.215088,0.366983
0.202816,0.349497
0.200445,0.347965
0.208793,0.362711
0.279382,0.417080
0.330312,0.467003
0.335027,0.483388
0.337832,0.483211
0.336395,0.478640
0.330255,0.468927
0.321810,0.455981
0.311731,0.440752
0.302229,0.426562
0.288588,0.406910
0.270793,0.380188
0.254018,0.353352
0.240220,0.329695
0.225909,0.303765
0.212124,0.276780
0.199791,0.251098
0.188243,0.224923
0.188914,0.223587
0.245444,0.268105
0.276567,0.305767
0.272938,0.303493
0.257581,0.283371
0.237913,0.254950
0.220186,0.226906
0.204415,0.199106
0.189535,0.169718
0.175405,0.138906
0.163697,0.109704
0.155995,0.087227
0.149866,0.067370
0.144149,0.047396
0.138711,0.025638
0.134240,0.004290
0.131788,0.000000
0.131586,0.000000
0.168793,0.047198
0.236439,0.128921
0.283972,0.201261
0.339520,0.275968
0.368820,0.336824
0.368105,0.365759
0.363784,0.367786
0.351225,0.359123
0.336532,0.347472
0.321465,0.334104
0.306019,0.319646
0.291387,0.304894
0.278243,0.290324
0.265744,0.275712
0.252999,0.260465
0.242905,0.248110
0.237949,0.242427
0.236881,0.246375
0.280346,0.286862
0.366511,0.352739
0.631757,0.486171
0.866085,0.619314
0.955573,0.721050
0.949568,0.776943
0.930082,0.783661
0.895719,0.775713
0.849424,0.759091
0.790606,0.732843
0.729942,0.702953
0.673141,0.672559
0.616096,0.638962
0.557378,0.600757
0.502279,0.561786
0.450229,0.521089
0.401857,0.479027
0.358622,0.437584
0.316956,0.392867
0.279745,0.347715
0.270062,0.336467
0.263884,0.329823
0.256042,0.320337
0.246108,0.307100
0.235700,0.292230
0.223310,0.272848
0.206978,0.244579
0.190110,0.211710
0.173142,0.173479
0.156814,0.129080
0.145440,0.091057
0.138239,0.061631
0.133142,0.036570
0.128926,0.011239
0.126911,0.000000
0.125555,0.000000
0.129046,0.000000
0.140866,0.018197
0.164815,0.065171
0.302390,0.191900
0.668496,0.394208
0.871190,0.553802
0.958263,0.678164
0.993442,0.775072
1.000000,0.850587
1.000000,0.909432
1.000000,0.955286
1.000000,0.958600
0.999887,0.972369
0.993693,0.971166
0.976622,0.963912
0.939237,0.945215
0.875486,0.913253
0.806617,0.876308
0.744116,0.841049
0.680434,0.801736
0.618902,0.760204
0.559310,0.716106
0.514784,0.679616
0.479286,0.648913
0.445288,0.618500
0.411141,0.586038
0.374305,0.548870
0.334465,0.504848
0.292970,0.453103
0.258704,0.404759
0.232944,0.363228
0.213283,0.327070
0.196807,0.293537
0.186250,0.269280
0.182260,0.258288
0.179294,0.250307
0.174200,0.238249
0.170222,0.229465
0.166745,0.224094
0.174052,0.223847
0.229140,0.267792
0.485730,0.411502
0.753892,0.562197
0.890964,0.684706
0.884390,0.762525
0.869628,0.798759
0.851237,0.810989
0.826286,0.808026
0.795355,0.800202
0.761270,0.789131
0.726591,0.776551
0.688778,0.760763
0.642893,0.738301
0.598060,0.714770
0.555689,0.691223
0.511856,0.664760
0.460266,0.628926
0.401445,0.581842
0.371157,0.559576
0.342979,0.538952
0.313947,0.515473
0.289332,0.494256
0.267801,0.473420
0.252128,0.457503
0.236658,0.439835
0.215069,0.409831
0.189340,0.366807
0.164212,0.313511
0.145907,0.262577
0.133155,0.213902
0.125225,0.167386
0.121159,0.122931
0.120003,0.080448
0.120000,0.039848
0.120000,0.001049
