frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
165, 0, 5.467, 0.98, 1, 16.0, -36.4, 487.0, 0.005, 0.021, 0.016
166, 0, 5.500, 0.98, 1, 16.0, -36.4, 487.0, 0.005, 0.022, 0.017
167, 0, 5.533, 0.98, 1, 16.0, -36.4, 486.9, 0.005, 0.022, 0.017
168, 0, 5.567, 0.98, 1, 16.0, -36.4, 486.9, 0.005, 0.022, 0.017
169, 0, 5.600, 0.98, 1, 16.0, -36.4, 486.3, 0.004, 0.021, 0.017
170, 0, 5.633, 0.98, 1, 16.1, -36.3, 486.3, 0.005, 0.019, 0.017
171, 0, 5.667, 0.98, 1, 16.1, -36.3, 486.3, 0.004, 0.019, 0.016
172, 0, 5.700, 0.98, 1, 16.1, -36.4, 486.9, 0.003, 0.020, 0.017
173, 0, 5.733, 0.98, 1, 16.1, -36.4, 486.9, 0.003, 0.019, 0.017
174, 0, 5.767, 0.98, 1, 16.1, -36.4, 486.9, 0.002, 0.019, 0.017
175, 0, 5.800, 0.98, 1, 16.2, -36.4, 486.8, 0.002, 0.017, 0.016
176, 0, 5.833, 0.98, 1, 16.2, -36.4, 486.8, 0.002, 0.019, 0.015
177, 0, 5.867, 0.98, 1, 16.2, -36.5, 486.7, 0.002, 0.019, 0.015
178, 0, 5.900, 0.98, 1, 16.3, -36.5, 486.6, -0.001, 0.018, 0.016
179, 0, 5.933, 0.98, 1, 16.3, -36.5, 486.7, -0.000, 0.018, 0.016
180, 0, 5.967, 0.98, 1, 16.3, -36.5, 486.2, 0.002, 0.018, 0.017
181, 0, 6.000, 0.98, 1, 16.3, -36.4, 485.9, 0.000, 0.019, 0.017
182, 0, 6.033, 0.98, 1, 16.3, -36.5, 486.2, -0.002, 0.019, 0.017
183, 0, 6.067, 0.98, 1, 16.3, -36.6, 486.2, -0.006, 0.019, 0.017
184, 0, 6.100, 0.98, 1, 16.3, -36.6, 485.9, -0.004, 0.020, 0.017
185, 0, 6.133, 0.98, 1, 16.4, -36.7, 486.2, -0.006, 0.020, 0.018
186, 0, 6.167, 0.98, 1, 16.4, -36.8, 486.6, -0.007, 0.021, 0.019
187, 0, 6.200, 0.98, 1, 16.3, -36.8, 485.8, -0.007, 0.022, 0.019
188, 0, 6.233, 0.98, 1, 16.3, -36.9, 484.9, -0.010, 0.023, 0.019
189, 0, 6.267, 0.98, 1, 16.5, -37.0, 485.8, -0.013, 0.027, 0.020
190, 0, 6.300, 0.98, 1, 16.5, -37.0, 484.4, -0.018, 0.024, 0.022
